PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,ROUND_PICK,PerformanceScore,ExpectedPerformanceScore,VOE,ROOKIE_SALARY_YEAR_1,ROI,ROI_scaled,NUM_SEASONS_PLAYED_IN_DATA,GP,MIN,PTS,REB,AST
2030,Kenyon Martin,2000,1,1,1,9.087615548669632,8.481838049306718,0.6057774993629135,2813300.0,3.2302333731452855e-06,3.2302333731452855,5.0,353.0,11932.0,5356.0,2658.0,838.0
2031,Stromile Swift,2000,2,1,2,4.299844738098975,4.571503588611435,-0.27165885051245997,2517100.0,1.7082534416983732e-06,1.7082534416983732,5.0,352.0,7402.0,3172.0,1749.0,204.0
2032,Darius Miles,2000,3,1,3,3.823217015818728,7.207031910243829,-3.383814894425101,2260400.0,1.6913895840642046e-06,1.6913895840642046,4.0,272.0,7556.0,2689.0,1485.0,541.0
2033,Marcus Fizer,2000,4,1,4,2.9824461737346124,5.498720180722668,-2.516274006988056,2037900.0,1.4634899522717564e-06,1.4634899522717564,5.0,286.0,5997.0,2762.0,1333.0,351.0
2034,Mike Miller,2000,5,1,5,2.5015860736249054,5.6070193539629205,-3.105433280338015,1845500.0,1.3555058648739666e-06,1.3555058648739666,3.0,210.0,6704.0,2942.0,941.0,508.0
2035,DerMarr Johnson,2000,6,1,6,1.6174005956687618,3.284608943102659,-1.6672083474338972,1676200.0,9.649210092284701e-07,0.9649210092284701,5.0,300.0,5483.0,1969.0,711.0,286.0
2036,Chris Mihm,2000,7,1,7,0.9096032287100813,5.411582922276298,-4.501979693566216,1530200.0,5.944342103712464e-07,0.5944342103712463,4.0,239.0,4573.0,1653.0,1176.0,79.0
2037,Jamal Crawford,2000,8,1,8,5.7559447447396295,2.4915856085804453,3.264359136159184,1401900.0,4.10581692327529e-06,4.10581692327529,5.0,314.0,9022.0,3978.0,794.0,1237.0
2038,Joel Przybilla,2000,9,1,9,-1.912977496140238,3.986208314329898,-5.8991858104701365,1288600.0,-1.4845394196338956e-06,-1.4845394196338957,4.0,148.0,2258.0,313.0,600.0,39.0
2039,Keyon Dooling,2000,10,1,10,1.076132442407348,2.9660976465445814,-1.8899652041372335,1224100.0,8.791213482618642e-07,0.8791213482618642,5.0,277.0,4682.0,1599.0,333.0,540.0
2040,Jerome Moiso,2000,11,1,11,-2.5177745159837865,2.0688635307930068,-4.586638046776793,1161900.0,-2.166945964354752e-06,-2.166945964354752,5.0,133.0,1341.0,372.0,381.0,37.0
2041,Etan Thomas,2000,12,1,12,1.7870791419940542,3.095875325808867,-1.3087961838148128,1104800.0,1.6175589627028006e-06,1.6175589627028006,5.0,282.0,5131.0,1759.0,1397.0,111.0
2042,Courtney Alexander,2000,13,1,13,-0.27159087369146406,2.3902527145615435,-2.6618435882530074,1049500.0,-2.587812040890558e-07,-0.2587812040890558,3.0,187.0,4067.0,1690.0,409.0,227.0
2043,Mateen Cleaves,2000,14,1,14,-2.1071918220488968,1.6235892221864359,-3.7307810442353326,997100.0,-2.1133204513578345e-06,-2.1133204513578345,5.0,140.0,1636.0,536.0,161.0,268.0
2044,Jason Collier,2000,15,1,15,-1.8061360715906924,1.3619425294075354,-3.1680786009982276,947200.0,-1.9068159539597682e-06,-1.9068159539597682,5.0,151.0,2178.0,841.0,443.0,51.0
2045,Hedo Turkoglu,2000,16,1,16,5.077022040902031,0.1436090356304043,4.9334130052716265,899800.0,5.6423894653278845e-06,5.642389465327884,5.0,368.0,8225.0,3324.0,1352.0,626.0
2046,Desmond Mason,2000,17,1,17,2.333510048116005,1.632304885072192,0.701205163043813,854900.0,2.729570766307176e-06,2.729570766307176,3.0,233.0,6703.0,2541.0,1123.0,330.0
2047,Quentin Richardson,2000,18,1,18,6.47970220401744,1.2957977938639158,5.183904410153524,812100.0,7.97894619383997e-06,7.9789461938399695,5.0,360.0,10057.0,4538.0,1765.0,539.0
2048,Jamaal Magloire,2000,19,1,19,5.692590523594126,1.7169155203806519,3.9756750032134747,775600.0,7.339595827222958e-06,7.339595827222958,5.0,343.0,8567.0,3268.0,2532.0,261.0
2049,Speedy Claxton,2000,20,1,20,0.2477105288094169,0.42858825668858747,-0.18087772787917056,744500.0,3.3272065656066744e-07,0.33272065656066746,4.0,173.0,3959.0,1395.0,403.0,628.0
2050,Morris Peterson,2000,21,1,21,7.012411040840753,2.1949037398820344,4.817507300958718,714800.0,9.810312032513645e-06,9.810312032513645,5.0,389.0,11409.0,4490.0,1446.0,728.0
2051,Donnell Harvey,2000,22,1,22,-1.3036746680480944,0.1850630339177511,-1.4887377019658454,686200.0,-1.8998464996328977e-06,-1.8998464996328976,3.0,142.0,2522.0,903.0,656.0,139.0
2052,DeShawn Stevenson,2000,23,1,23,-0.8688728462721159,0.8341716057807225,-1.7030444520528385,658700.0,-1.319072181982869e-06,-1.319072181982869,4.0,194.0,3117.0,984.0,364.0,240.0
2053,Dalibor Bagaric,2000,24,1,24,-3.151862322235742,0.4861859308351865,-3.6380482530709286,632400.0,-4.983969516501806e-06,-4.983969516501806,3.0,95.0,970.0,251.0,238.0,37.0
2054,Jake Tsakalidis,2000,25,1,25,0.07020147217521666,-0.40273951461954993,0.4729409867947666,607100.0,1.1563411657917421e-07,0.1156341165791742,5.0,228.0,3887.0,1156.0,922.0,83.0
2055,Mamadou N'diaye,2000,26,1,26,-3.6157253138075474,0.8767131306301804,-4.492438444437727,587000.0,-6.15966833698049e-06,-6.15966833698049,4.0,55.0,780.0,242.0,206.0,7.0
2056,Primoz Brezec,2000,27,1,27,0.9228318393777211,1.417854825387009,-0.49502298600928785,570000.0,1.619003226978458e-06,1.619003226978458,5.0,213.0,4787.0,2033.0,1037.0,144.0
2057,Erick Barkley,2000,28,1,28,-4.219727612157963,0.4260862663827283,-4.645813878540691,566500.0,-7.448768953500376e-06,-7.448768953500377,2.0,27.0,264.0,77.0,21.0,40.0
2058,Mark Madsen,2000,29,1,29,0.5058405644783448,-0.31484615659863735,0.8206867210769822,562400.0,8.994320136528179e-07,0.8994320136528179,5.0,296.0,3919.0,825.0,873.0,152.0
2060,Marko Jaric,2000,30,2,1,4.937057588536437,0.8805305586342472,4.056527029902189,,,,5.0,319.0,8452.0,2436.0,913.0,1215.0
2061,Dan Langhi,2000,31,2,2,-2.7983396485320027,-1.0732534758621908,-1.725086172669812,,,,4.0,129.0,1235.0,387.0,196.0,39.0
2062,A.J. Guyton,2000,32,2,3,-3.0705878612561675,-1.965802482302751,-1.1047853789534166,,,,3.0,80.0,1243.0,442.0,80.0,147.0
2063,Jake Voskuhl,2000,33,2,4,0.30639279299633165,-1.1083681444846332,1.4147609374809649,,,,5.0,244.0,3952.0,1092.0,944.0,133.0
2064,Khalid El-Amin,2000,34,2,5,-3.4519548428583153,-1.1712751083287867,-2.280679734529529,,,,1.0,50.0,936.0,314.0,81.0,145.0
2065,Mike Smith,2000,35,2,6,-4.3923009081135564,-1.534077619330717,-2.858223288782839,,,,1.0,17.0,180.0,51.0,22.0,10.0
2066,Soumaila Samake,2000,36,2,7,-4.062250079304252,-1.240312107356127,-2.821937971948125,,,,2.0,47.0,303.0,68.0,76.0,5.0
2067,Eddie House,2000,37,2,8,0.655020627226389,-0.9647556256991736,1.6197762529255626,,,,5.0,242.0,4293.0,1729.0,410.0,434.0
2059,Eduardo Najera,2000,38,2,9,0.5518872279752259,-1.223030394343856,1.774917622319082,,,,5.0,250.0,4221.0,1202.0,934.0,174.0
2068,Lavor Postell,2000,39,2,10,-3.8733028652648454,-1.9876302770414147,-1.8856725882234306,,,,3.0,61.0,445.0,195.0,45.0,13.0
2069,Hanno Mottola,2000,40,2,11,-1.7474586253795197,-1.7174084704503874,-0.030050154929132322,,,,2.0,155.0,2357.0,715.0,442.0,75.0
2070,Chris Carrawell,2000,41,2,12,-4.645271505810585,-1.3122861572815279,-3.332985348529057,,,,0.0,0.0,0.0,0.0,0.0,0.0
2071,Olumide Oyedeji,2000,42,2,13,-3.4386471036551063,-1.6659636172687429,-1.7726834863863634,,,,3.0,93.0,588.0,127.0,196.0,11.0
2072,Michael Redd,2000,43,2,14,6.008746437495043,-2.4236821005068823,8.432428538001925,,,,5.0,312.0,9637.0,5520.0,1318.0,566.0
2073,Brian Cardinal,2000,44,2,15,-0.6759691806251016,-3.0261837406478937,2.350214560022792,,,,5.0,162.0,3251.0,1307.0,576.0,223.0
2074,Jabari Smith,2000,45,2,16,-3.8239167208284117,-1.7843466646131085,-2.039570056215303,,,,3.0,63.0,416.0,163.0,67.0,28.0
2075,DeeAndre Hulett,2000,46,2,17,-4.645271505810585,-2.049415723669684,-2.5958557821409007,,,,0.0,0.0,0.0,0.0,0.0,0.0
2076,Josip Sesar,2000,47,2,18,-4.645271505810585,-2.485888414134478,-2.1593830916761068,,,,0.0,0.0,0.0,0.0,0.0,0.0
2077,Mark Karcher,2000,48,2,19,-4.645271505810585,-2.712561145630282,-1.9327103601803026,,,,0.0,0.0,0.0,0.0,0.0,0.0
2078,Jason Hart,2000,49,2,20,-0.026144932431114265,-1.9314093933621017,1.9052644609309874,,,,5.0,204.0,3472.0,1129.0,366.0,531.0
2079,Kaniel Dickens,2000,50,2,21,-4.446263775753121,-3.311162269425915,-1.1351015063272065,,,,3.0,19.0,84.0,22.0,12.0,2.0
2080,Igor Rakocevic,2000,51,2,22,-4.128348974044717,-3.5891324097242014,-0.5392165643205153,,,,1.0,42.0,244.0,78.0,17.0,33.0
2081,Ernest Brown,2000,52,2,23,-4.607529616816453,-2.717694488270481,-1.8898351285459714,,,,1.0,3.0,21.0,3.0,6.0,0.0
2082,Dan McClintock,2000,53,2,24,-4.55090627665272,-4.123214738704586,-0.4276915379481334,,,,1.0,6.0,58.0,18.0,17.0,1.0
2083,Cory Hightower,2000,54,2,25,-4.645271505810585,-4.148061939204408,-0.4972095666061769,,,,0.0,0.0,0.0,0.0,0.0,0.0
2084,Chris Porter,2000,55,2,26,-3.3574547598774376,-2.78973278702939,-0.5677219728480476,,,,1.0,51.0,1147.0,440.0,189.0,61.0
2085,Jaquay Walls,2000,56,2,27,-4.645271505810585,-3.7586155462502324,-0.8866559595603523,,,,0.0,0.0,0.0,0.0,0.0,0.0
2086,Scoonie Penn,2000,57,2,28,-4.645271505810585,-4.315209641304214,-0.3300618645063711,,,,0.0,0.0,0.0,0.0,0.0,0.0
2087,Pete Mickeal,2000,58,2,29,-4.645271505810585,-3.8687780900768662,-0.7764934157337184,,,,0.0,0.0,0.0,0.0,0.0,0.0
2198,Kwame Brown,2001,1,1,1,4.186500654911771,8.481838049306718,-4.295337394394948,2947200.0,1.4205010365471534e-06,1.4205010365471533,5.0,325.0,7713.0,2484.0,1853.0,324.0
2199,Tyson Chandler,2001,2,1,2,5.327139976464768,4.571503588611435,0.7556363878533325,2636900.0,2.020228289455333e-06,2.020228289455333,5.0,340.0,8313.0,2397.0,2616.0,299.0
2200,Pau Gasol,2001,3,1,3,11.817034900601708,7.207031910243829,4.610002990357879,2368100.0,4.990091170390485e-06,4.990091170390485,5.0,378.0,13338.0,7002.0,3173.0,1156.0
2201,Eddy Curry,2001,4,1,4,5.398173967394363,5.498720180722668,-0.10054621332830571,2135000.0,2.5284187200910365e-06,2.5284187200910364,5.0,361.0,8545.0,4393.0,1846.0,186.0
