GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2000-01,68,33.4,0.472,0.198,97.7,96.7,103.8,103.1,-6.2,-6.5,0.103,0.059,0.169,0.112,12.2,12.2,0.446,93.96,94.77,0.084,2030,2000
2001-02,73,34.3,0.503,0.22,104.1,102.9,97.6,96.7,6.4,6.2,0.123,0.045,0.107,0.076,11.9,11.9,0.47,94.68,95.68,0.088,2030,2001
2002-03,77,34.1,0.511,0.246,104.2,102.8,95.9,95.4,8.3,7.3,0.126,0.064,0.183,0.124,11.7,11.8,0.475,93.48,94.38,0.119,2030,2002
2003-04,65,34.7,0.528,0.246,98.9,98.4,93.9,93.3,4.9,5.1,0.134,0.061,0.217,0.14,12.4,12.4,0.492,91.64,92.15,0.145,2030,2003
2004-05,70,32.6,0.521,0.232,104.5,103.3,102.6,101.6,1.9,1.7,0.131,0.068,0.163,0.116,11.0,10.9,0.49,94.34,95.38,0.118,2030,2004
2000-01,80,16.4,0.487,0.161,98.5,99.0,103.7,104.1,-5.3,-5.1,0.035,0.088,0.137,0.113,13.0,13.0,0.451,93.28,92.84,0.067,2031,2000
2001-02,68,26.5,0.539,0.216,94.8,95.1,103.7,104.2,-8.8,-9.1,0.052,0.09,0.143,0.117,13.2,13.3,0.48,93.41,93.06,0.108,2031,2001
2002-03,67,22.0,0.542,0.21,99.4,99.9,102.5,102.4,-3.1,-2.5,0.051,0.08,0.177,0.13,13.3,13.4,0.481,95.18,94.95,0.112,2031,2002
2003-04,77,19.9,0.53,0.219,100.9,100.5,98.0,98.0,2.9,2.5,0.043,0.089,0.153,0.121,10.8,10.8,0.47,95.21,95.35,0.118,2031,2003
2004-05,60,21.3,0.517,0.244,102.5,102.1,100.7,100.5,1.9,1.6,0.063,0.077,0.144,0.111,12.4,12.5,0.449,91.87,92.12,0.1,2031,2004
2000-01,81,26.4,0.518,0.188,101.1,100.8,99.5,99.1,1.6,1.7,0.08,0.063,0.154,0.112,14.9,15.0,0.506,92.99,93.33,0.097,2032,2000
2001-02,82,27.1,0.516,0.183,103.2,102.3,102.8,102.4,0.4,-0.1,0.137,0.049,0.151,0.101,14.5,14.6,0.483,92.72,93.3,0.102,2032,2001
2002-03,67,29.9,0.435,0.189,93.0,92.3,103.5,102.2,-10.5,-9.9,0.148,0.054,0.122,0.088,16.7,16.7,0.41,96.26,97.3,0.066,2032,2002
2003-04,42,28.3,0.559,0.219,101.4,101.1,100.6,100.6,0.8,0.5,0.126,0.059,0.108,0.084,11.7,11.7,0.528,87.93,88.06,0.115,2032,2003
2000-01,72,22.0,0.476,0.242,91.9,91.1,105.0,105.5,-13.1,-14.4,0.097,0.048,0.167,0.105,13.6,13.5,0.438,92.18,92.33,0.077,2033,2000
2001-02,76,25.9,0.482,0.257,97.3,96.9,105.3,105.1,-8.0,-8.2,0.116,0.066,0.162,0.113,10.7,10.7,0.442,92.03,92.35,0.097,2033,2001
2002-03,38,21.3,0.503,0.273,97.9,97.6,101.7,101.6,-3.8,-3.9,0.118,0.096,0.166,0.131,10.4,10.4,0.466,94.42,94.59,0.126,2033,2002
2003-04,46,16.1,0.447,0.264,95.7,95.7,101.6,102.3,-5.9,-6.5,0.106,0.074,0.198,0.131,10.2,10.3,0.386,97.09,96.74,0.089,2033,2003
2004-05,54,16.7,0.498,0.21,99.4,99.6,108.4,106.7,-9.0,-7.1,0.128,0.035,0.179,0.107,13.5,13.6,0.455,90.97,91.61,0.085,2033,2004
2000-01,82,29.1,0.541,0.181,103.0,101.8,99.7,99.2,3.3,2.6,0.095,0.026,0.108,0.066,8.5,8.5,0.523,95.94,96.8,0.09,2034,2000
2001-02,63,33.8,0.542,0.207,107.4,106.1,103.6,102.6,3.8,3.6,0.149,0.023,0.104,0.064,9.1,9.1,0.51,95.1,96.13,0.095,2034,2001
2002-03,65,33.6,0.537,0.216,105.3,104.2,102.7,102.0,2.6,2.2,0.131,0.021,0.139,0.079,10.2,10.1,0.498,95.2,96.04,0.101,2034,2002
2000-01,78,16.8,0.463,0.173,95.6,95.8,102.0,103.3,-6.4,-7.5,0.079,0.042,0.093,0.067,15.9,15.9,0.427,95.58,94.94,0.044,2035,2000
2001-02,72,23.9,0.513,0.176,99.8,100.2,101.9,102.1,-2.0,-1.9,0.076,0.034,0.113,0.073,13.2,13.3,0.479,95.38,95.06,0.067,2035,2001
2003-04,21,13.5,0.511,0.203,101.5,102.2,106.9,108.6,-5.4,-6.4,0.071,0.018,0.126,0.072,11.5,11.6,0.438,91.15,90.14,0.07,2035,2003
2004-05,71,17.2,0.605,0.172,105.5,106.2,99.1,98.1,6.4,8.0,0.096,0.037,0.084,0.062,11.7,11.7,0.57,97.26,97.47,0.087,2035,2004
2005-06,58,15.9,0.545,0.175,100.4,99.9,101.8,101.8,-1.3,-1.9,0.095,0.02,0.084,0.052,10.8,10.8,0.523,96.29,96.55,0.073,2035,2005
