DRAFT_YEAR,OVERALL_PICK,ROOKIE_SALARY_YEAR_1
2000,1,2813300
2000,2,2517100
2000,3,2260400
2000,4,2037900
2000,5,1845500
2000,6,1676200
2000,7,1530200
2000,8,1401900
2000,9,1288600
2000,10,1224100
2000,11,1161900
2000,12,1104800
2000,13,1049500
2000,14,997100
2000,15,947200
2000,16,899800
2000,17,854900
2000,18,812100
2000,19,775600
2000,20,744500
2000,21,714800
2000,22,686200
2000,23,658700
2000,24,632400
2000,25,607100
2000,26,587000
2000,27,570000
2000,28,566500
2000,29,562400
2000,30,
2000,31,
2000,32,
2000,33,
2000,34,
2000,35,
2000,36,
2000,37,
2000,38,
2000,39,
2000,40,
2000,41,
2000,42,
2000,43,
2000,44,
2000,45,
2000,46,
2000,47,
2000,48,
2000,49,
2000,50,
2000,51,
2000,52,
2000,53,
2000,54,
2000,55,
2000,56,
2000,57,
2000,58,
2000,59,
2000,60,
2001,1,2947200
2001,2,2636900
2001,3,2368100
2001,4,2135000
2001,5,1933400
2001,6,1756000
2001,7,1603000
2001,8,1468600
2001,9,1349900
2001,10,1282400
2001,11,1218300
2001,12,1157400
2001,13,1099500
2001,14,1044500
2001,15,992300
2001,16,942700
2001,17,895600
2001,18,850800
2001,19,812500
2001,20,780000
2001,21,748800
2001,22,718800
2001,23,690100
2001,24,662500
2001,25,636000
2001,26,614900
2001,27,597200
2001,28,593500
2001,29,589200
2001,30,
2001,31,
2001,32,
2001,33,
2001,34,
2001,35,
2001,36,
2001,37,
2001,38,
2001,39,
2001,40,
2001,41,
2001,42,
2001,43,
2001,44,
2001,45,
2001,46,
2001,47,
2001,48,
2001,49,
2001,50,
2001,51,
2001,52,
2001,53,
2001,54,
2001,55,
2001,56,
2001,57,
2001,58,
2001,59,
2001,60,
2002,1,3081200
2002,2,2756800
2002,3,2475700
2002,4,2232000
2002,5,2021200
2002,6,1835900
2002,7,1675900
2002,8,1535400
2002,9,1411300
2002,10,1340700
2002,11,1273700
2002,12,1210000
2002,13,1149500
2002,14,1092000
2002,15,1037400
2002,16,985500
2002,17,936300
2002,18,889500
2002,19,849400
2002,20,815500
2002,21,782800
2002,22,751500
2002,23,721500
2002,24,692600
2002,25,664900
2002,26,642900
2002,27,624300
2002,28,620400
2002,29,615900
2002,30,
2002,31,
2002,32,
2002,33,
2002,34,
2002,35,
2002,36,
2002,37,
2002,38,
2002,39,
2002,40,
2002,41,
2002,42,
2002,43,
2002,44,
2002,45,
2002,46,
2002,47,
2002,48,
2002,49,
2002,50,
2002,51,
2002,52,
2002,53,
2002,54,
2002,55,
2002,56,
